Type,ID,Organization,RoadName,DirectionOfTravel,Description,Date Reported,Last Updated,Start Date,Planned End Date,LanesAffected,Latitude,Longitude,EventType,LinkId,Comment
event,MTO--106431,MTO,11,Northbound,Recurring-Construction on HWY 11 Northbound  between HWY 400 and SIMCOE ROAD 93/PENETANGUISHENE ROAD. 1 Alternating Lane(s).,1/6/2019,1/2/2019,1/6/2019,1/12/2019,1 Alternating Lane(s),44.422604,-79.65403,roadwork,1129778497,"Detailed closure information is as follows: MON: 1st Lane Closed at 00:00, 1st Lane Opened at 14:00;"
event,MTO--106430,MTO,11,Northbound,Recurring-Construction on HWY 11 Northbound  between HWY 400 and SIMCOE ROAD 93/PENETANGUISHENE ROAD. 1 Alternating Lane(s).,1/6/2019,1/2/2019,1/6/2019,1/12/2019,1 Alternating Lane(s),44.422604,-79.65403,roadwork,1129778497,"Detailed closure information is as follows: SUN: 1st Lane Closed at 00:00, 1st Lane Opened at 23:59; MON: 1st Lane Closed at 17:00, 1st Lane Opened at 15:00; TUE: 1st Lane Closed at 19:00, 1st Lane Opened at 15:00; WED: 1st Lane Closed at 19:00, 1st Lane Opened at 15:00; THU: 1st Lane Closed at 19:00, 1st Lane Opened at 12:00; FRI: 1st Lane Closed at 21:00, 1st Lane Opened at 10:00; SAT: 1st Lane Closed at 17:00, 1st Lane Opened at 23:59;"
event,MTO--22247,MTO,EC ROW (7087),Eastbound,Maintenance on EC ROW (7087) Eastbound  between Ojibway Parkway and Malden Road. 1 Right Lane(s).,1/7/2019,1/4/2019,1/7/2019,1/8/2019,1 Right Lane(s),42.274235,-83.07866,roadwork,1151411586,"Ec Row eastbound right lane will be closed for maintenance from Ojibway Parkway to Malden road, starting January 7th at 22:00 until January 8th at 06:00 hours.  The eastbound on ramp at Matchette road will be closed during this time."
event,MTO--106440,MTO,Queen Elizabeth ,Toronto Bound,Recurring-Engineering Investigation on QEW Toronto bound On-ramp at GILMORE ROAD Eastbound. ALL LANES CLOSED.,1/9/2019,1/4/2019,1/9/2019,1/11/2019,ALL LANES CLOSED,42.919228,-78.96801,roadwork,1192889492,
event,MTO--106420,MTO,401,Eastbound,Recurring-Engineering Investigation on HWY 401 Eastbound  between ALBERT ST and ALBERT ST. 2 Left Lane(s).,1/6/2019,1/2/2019,1/6/2019,1/10/2019,2 Left Lane(s),43.881905,-78.854355,roadwork,926736276,
event,MTO--359045,MTO,144,Both Directions,Weather on HWY 144 Both Directions  between SEC HWY 560 and HWY 101-TIMMINS. All lanes closed.,1/7/2019,1/7/2019,1/7/2019,12/31/1969,All lanes closed,47.472479,-81.847151,closures,888134325,HWY 144 CLOSED AT HWY 560 GOGAMA TO HWY 101 TIMMINS DUE TO ADVERSE WEATHER. UPDATED JANUARY 7TH AT 1915
event,MTO--106470,MTO,401,Eastbound,Recurring-Engineering Investigation on HWY 401 Eastbound Off-ramp between  and MISSISSAUGA ROAD Eastbound. 1 Right Lane(s).,1/6/2019,1/3/2019,1/6/2019,1/8/2019,1 Right Lane(s),43.605526,-79.74617,roadwork,133783860,
event,MTO--106462,MTO,427,Southbound,Recurring-Construction on HWY 427 Southbound  between ALBION ROAD and FINCH AVENUE. 2 Alternating Lane(s).,1/6/2019,1/3/2019,1/6/2019,1/12/2019,2 Alternating Lane(s),43.748093,-79.62958,roadwork,947749909,"Detailed closure information is as follows: SUN: 1st Lane Closed at 22:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; MON: 1st Lane Closed at 21:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; TUE: 1st Lane Closed at 21:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; WED: 1st Lane Closed at 21:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; THU: 1st Lane Closed at 21:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; FRI: 1st Lane Closed at 21:00, 2nd Lane Closed at 23:59, 2nd Lane Opened at 07:00, 1st Lane Opened at 10:00;"
event,MTO--106382,MTO,11,Northbound,Recurring-Maintenance on HWY 11 Northbound  between SIMCOE ROAD 93/PENETANGUISHENE ROAD and COOPER FALLS ROAD/CANAL ROAD/COUNTY ROAD 52. 1 Right Lane(s).,1/7/2019,1/2/2019,1/7/2019,1/11/2019,1 Right Lane(s),44.435024,-79.643555,roadwork,119661718,"Detailed closure information is as follows: MON: 1st Lane Closed at 09:00, 1st Lane Opened at 15:00; TUE: 1st Lane Closed at 09:00, 1st Lane Opened at 15:00; WED: 1st Lane Closed at 09:00, 1st Lane Opened at 15:00; THU: 1st Lane Closed at 09:00, 1st Lane Opened at 15:00; FRI: 1st Lane Closed at 09:00, 1st Lane Opened at 11:00;"
event,MTO--106383,MTO,11,Southbound,Recurring-Maintenance on HWY 11 Southbound  between COOPER FALLS ROAD/CANAL ROAD/COUNTY ROAD 52 and SIMCOE ROAD 93/PENETANGUISHENE ROAD. 1 Alternating Lane(s).,1/7/2019,1/2/2019,1/7/2019,1/11/2019,1 Alternating Lane(s),44.771248,-79.33455,roadwork,37164886,"Detailed closure information is as follows: MON: 1st Lane Closed at 09:00, 1st Lane Opened at 15:00; TUE: 1st Lane Closed at 09:00, 1st Lane Opened at 15:00; WED: 1st Lane Closed at 09:00, 1st Lane Opened at 15:00; THU: 1st Lane Closed at 09:00, 1st Lane Opened at 15:00; FRI: 1st Lane Closed at 09:00, 1st Lane Opened at 11:00;"
event,MTO--106421,MTO,400,Southbound,Recurring-Construction on HWY 400 Southbound  between PARTRIDGE SKI TRAIL ROAD and HWY 11 JCT. 1 Alternating Lane(s).,1/6/2019,1/2/2019,1/6/2019,1/12/2019,1 Alternating Lane(s),44.444885,-79.66773,roadwork,784567623,"Detailed closure information is as follows: SUN: 1st Lane Closed at 00:00, 1st Lane Opened at 23:59; MON: 1st Lane Closed at 00:00, 1st Lane Opened at 23:59; TUE: 1st Lane Closed at 00:00, 1st Lane Opened at 23:59; WED: 1st Lane Closed at 00:00, 1st Lane Opened at 23:59; THU: 1st Lane Closed at 00:00, 1st Lane Opened at 23:59; FRI: 1st Lane Closed at 00:00, 1st Lane Opened at 23:59; SAT: 1st Lane Closed at 00:00, 1st Lane Opened at 23:59;"
event,MTO--106423,MTO,400,Northbound,Recurring-Construction on HWY 400 Northbound  between DUCKWORTH STREET and HWY 11 JCT. 2 Alternating Lane(s).,1/6/2019,1/2/2019,1/6/2019,1/12/2019,2 Alternating Lane(s),44.41397,-79.672935,roadwork,1180843395,"Detailed closure information is as follows: SUN: 1st Lane Closed at 00:00, 2nd Lane Closed at 00:00, 2nd Lane Opened at 10:00, 1st Lane Opened at 00:00; FRI: 1st Lane Closed at 00:00, 2nd Lane Closed at 00:00, 2nd Lane Opened at 00:00, 1st Lane Opened at 12:00;"
event,MTO--106425,MTO,400,Southbound,Recurring-Construction on HWY 400 Southbound  between HWY 11 JCT and DUCKWORTH STREET. 2 Alternating Lane(s).,1/6/2019,1/2/2019,1/6/2019,1/12/2019,2 Alternating Lane(s),44.427162,-79.65115,roadwork,913637284,"Detailed closure information is as follows: SUN: 1st Lane Closed at 00:00, 2nd Lane Closed at 00:00, 2nd Lane Opened at 09:00, 1st Lane Opened at 11:00;"
event,MTO--106422,MTO,400,Northbound,Recurring-Construction on HWY 400 Northbound  between DUCKWORTH STREET and HWY 11 JCT. 2 Alternating Lane(s).,1/6/2019,1/2/2019,1/6/2019,1/12/2019,2 Alternating Lane(s),44.41397,-79.672935,roadwork,1180843395,"Detailed closure information is as follows: SUN: 1st Lane Closed at 00:00, 2nd Lane Closed at 20:00, 2nd Lane Opened at 06:00, 1st Lane Opened at 23:59; MON: 1st Lane Closed at 00:00, 2nd Lane Closed at 20:00, 2nd Lane Opened at 06:00, 1st Lane Opened at 23:59; TUE: 1st Lane Closed at 00:00, 2nd Lane Closed at 20:00, 2nd Lane Opened at 06:00, 1st Lane Opened at 23:59; WED: 1st Lane Closed at 00:00, 2nd Lane Closed at 20:00, 2nd Lane Opened at 06:00, 1st Lane Opened at 23:59; THU: 1st Lane Closed at 00:00, 2nd Lane Closed at 20:00, 2nd Lane Opened at 06:00, 1st Lane Opened at 23:59; FRI: 1st Lane Closed at 20:00, 2nd Lane Closed at 22:00, 2nd Lane Opened at 10:00, 1st Lane Opened at 23:59; SAT: 1st Lane Closed at 00:00, 2nd Lane Closed at 22:00, 2nd Lane Opened at 23:59, 1st Lane Opened at 23:59;"
event,MTO--106424,MTO,400,Southbound,Recurring-Construction on HWY 400 Southbound  between HWY 11 JCT and DUCKWORTH STREET. 2 Alternating Lane(s).,1/6/2019,1/2/2019,1/6/2019,1/12/2019,2 Alternating Lane(s),44.427162,-79.65115,roadwork,913637284,"Detailed closure information is as follows: SUN: 1st Lane Closed at 21:00, 2nd Lane Closed at 22:00, 2nd Lane Opened at 06:00, 1st Lane Opened at 23:59; MON: 1st Lane Closed at 00:00, 2nd Lane Closed at 20:00, 2nd Lane Opened at 06:00, 1st Lane Opened at 23:59; TUE: 1st Lane Closed at 00:00, 2nd Lane Closed at 20:00, 2nd Lane Opened at 06:00, 1st Lane Opened at 23:59; WED: 1st Lane Closed at 00:00, 2nd Lane Closed at 20:00, 2nd Lane Opened at 06:00, 1st Lane Opened at 23:59; THU: 1st Lane Closed at 00:00, 2nd Lane Closed at 20:00, 2nd Lane Opened at 06:00, 1st Lane Opened at 23:59; FRI: 1st Lane Closed at 00:00, 2nd Lane Closed at 22:00, 2nd Lane Opened at 09:00, 1st Lane Opened at 23:59; SAT: 1st Lane Closed at 00:00, 2nd Lane Closed at 20:00, 2nd Lane Opened at 23:59, 1st Lane Opened at 23:59;"
event,MTO--106495,MTO,Queen Elizabeth ,Toronto Bound,Recurring-Engineering Investigation on QEW Toronto bound  between BOWEN ROAD and BOWEN ROAD. 1 Right Lane(s).,1/8/2019,1/4/2019,1/8/2019,1/11/2019,1 Right Lane(s),42.933674,-78.983406,roadwork,786422313,
event,MTO--106496,MTO,Queen Elizabeth ,Fort Erie Bound,Recurring-Engineering Investigation on QEW Fort Erie Bound  between BOWEN ROAD and BOWEN ROAD. 1 Right Lane(s).,1/8/2019,1/4/2019,1/8/2019,1/11/2019,1 Right Lane(s),42.933674,-78.983406,roadwork,786422313,
event,MTO--106454,MTO,401,Eastbound,Recurring-Construction on HWY 401 Eastbound Collector between MISSISSAUGA ROAD Collector and HWY 10 / HURONTARIO STREET Collector. 2 Alternating Lane(s).,1/6/2019,1/4/2019,1/6/2019,1/13/2019,2 Alternating Lane(s),43.605526,-79.74617,roadwork,133783860,"Detailed closure information is as follows: SUN: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; MON: 1st Lane Closed at 22:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; TUE: 1st Lane Closed at 22:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; WED: 1st Lane Closed at 22:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; THU: 1st Lane Closed at 22:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; FRI: 1st Lane Closed at 22:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; SAT: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00;"
event,MTO--106497,MTO,Queen Elizabeth ,Fort Erie Bound,Recurring-Engineering Investigation on QEW Fort Erie Bound Off-ramp between  and BOWEN ROAD Eastbound/Westbound. ALL LANES CLOSED.,1/8/2019,1/4/2019,1/8/2019,1/11/2019,ALL LANES CLOSED,42.933674,-78.983406,roadwork,786422313,
event,MTO--22249,MTO,401,Eastbound,Maintenance on HWY 401 Eastbound  between Cty Rd 2 (IC 461) / Toronto Rd and Hwy 28 (IC 464) / Ontario St (Port Hope). 2 Alternating Lane(s).,1/9/2019,1/4/2019,1/9/2019,1/9/2019,2 Alternating Lane(s),43.96599,-78.33095,roadwork,1130617299,Lane reductions Hwy 401 E/B & W/B btwn Cty Rd 2 and Cty Rd 28 (Port Hope)
event,MTO--106456,MTO,401,Westbound,Recurring-Construction on HWY 401 Westbound Express between HWY 403 Express and HWY 10 / HURONTARIO STREET Express. 2 Alternating Lane(s).,1/6/2019,1/4/2019,1/6/2019,1/13/2019,2 Alternating Lane(s),43.639378,-79.66015,roadwork,1133118113,"Detailed closure information is as follows: SUN: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; MON: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; TUE: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; WED: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; THU: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; FRI: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; SAT: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00;"
event,MTO--106455,MTO,401,Westbound,Recurring-Construction on HWY 401 Westbound Collector between HWY 10 / HURONTARIO STREET Collector and MISSISSAUGA ROAD Collector. 2 Alternating Lane(s).,1/6/2019,1/4/2019,1/6/2019,1/13/2019,2 Alternating Lane(s),43.629856,-79.6843,roadwork,781545145,"Detailed closure information is as follows: SUN: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; MON: 1st Lane Closed at 22:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; TUE: 1st Lane Closed at 22:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; WED: 1st Lane Closed at 22:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; THU: 1st Lane Closed at 22:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; FRI: 1st Lane Closed at 22:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; SAT: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00;"
event,MTO--106453,MTO,401,Eastbound,Recurring-Construction on HWY 401 Eastbound Express between HWY 10 / HURONTARIO STREET Express and DIXIE ROAD Express. ALL LANES CLOSED.,1/6/2019,1/4/2019,1/6/2019,1/13/2019,ALL LANES CLOSED,43.629856,-79.6843,roadwork,778267666,"Detailed closure information is as follows: SUN: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; MON: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; TUE: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; WED: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; THU: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; FRI: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; SAT: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00;"
event,MTO--106358,MTO,427,Southbound,Recurring-Construction on HWY 427 Southbound On-ramp at REXDALE BLVD / DERRY ROAD Westbound. ALL LANES CLOSED.,1/7/2019,1/4/2019,1/7/2019,1/12/2019,ALL LANES CLOSED,43.71839,-79.62026,roadwork,133790197,
event,MTO--106364,MTO,427,Northbound,Recurring-Construction on HWY 427 Northbound On-ramp at REXDALE BLVD / DERRY ROAD Eastbound. ALL LANES CLOSED.,1/7/2019,1/4/2019,1/7/2019,1/12/2019,ALL LANES CLOSED,43.71839,-79.62026,roadwork,29594657,
event,MTO--106509,MTO,401,Westbound,Recurring-Maintenance on HWY 401 Westbound Collector between VICTORIA PARK AVE Collector and VICTORIA PARK AVE Collector. 2 Alternating Lane(s).,1/14/2019,1/4/2019,1/14/2019,1/16/2019,2 Alternating Lane(s),43.768288,-79.31975,roadwork,891705519,"Detailed closure information is as follows: ALL DAYS: 1st Lane Closed at 22:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00;"
event,MTO--106410,MTO,427,Southbound,Recurring-Construction on HWY 427 Southbound On-ramp at DIXON ROAD/AIRPORT ROAD Eastbound/Westbound. ALL LANES CLOSED.,1/7/2019,1/4/2019,1/7/2019,1/8/2019,ALL LANES CLOSED,43.68615,-79.6001,roadwork,29602710,"Detailed closure information is as follows: MON: 1st Lane Closed at 23:00, 1st Lane Opened at 05:00;"
event,MTO--106510,MTO,412,Northbound,Construction on HWY 412 Northbound  between ROSSLAND RD and ROSSLAND RD. OPP Assisted Full Closure for 15 minutes.,1/10/2019,1/4/2019,1/10/2019,1/10/2019,OPP Assisted Full Closure for 15 minutes,43.888657,-78.98895,roadwork,1192237956,
event,MTO--106512,MTO,412,Southbound,Construction on HWY 412 Southbound  between ROSSLAND RD and ROSSLAND RD. OPP Assisted Full Closure for 15 minutes.,1/10/2019,1/4/2019,1/10/2019,1/10/2019,OPP Assisted Full Closure for 15 minutes,43.888657,-78.98895,roadwork,1181289740,
event,MTO--106406,MTO,11,Northbound,Recurring-Construction on HWY 11 Northbound  between LINE 7/SIMCOE ROAD 27 and LINE 7/SIMCOE ROAD 27. 1 Alternating Lane(s).,1/7/2019,1/2/2019,1/7/2019,1/12/2019,1 Alternating Lane(s),44.478416,-79.5337,roadwork,37164262,"Detailed closure information is as follows: MON: 1st Lane Closed at 19:00, 1st Lane Opened at 05:00; TUE: 1st Lane Closed at 19:00, 1st Lane Opened at 05:00; WED: 1st Lane Closed at 19:00, 1st Lane Opened at 05:00; THU: 1st Lane Closed at 19:00, 1st Lane Opened at 05:00; FRI: 1st Lane Closed at 19:00, 1st Lane Opened at 05:00;"
event,MTO--106513,MTO,Queen Elizabeth ,Fort Erie Bound,Recurring-Construction on QEW Fort Erie Bound On-ramp at HWY 427 Southbound. 1 Alternating Lane(s).,1/8/2019,1/7/2019,1/8/2019,1/10/2019,1 Alternating Lane(s),43.612133,-79.55171,roadwork,133791114,"Detailed closure information is as follows: TUE: 1st Lane Closed at 23:00, 1st Lane Opened at 05:00; WED: 1st Lane Closed at 23:00, 1st Lane Opened at 05:00;"
event,MTO--106378,MTO,427,Northbound,Recurring-Construction on HWY 427 Northbound On-ramp at REXDALE BLVD / DERRY ROAD Eastbound. ALL LANES CLOSED.,1/13/2019,1/7/2019,1/13/2019,1/17/2019,ALL LANES CLOSED,43.71839,-79.62026,roadwork,29594657,
event,MTO--106375,MTO,427,Southbound,Recurring-Construction on HWY 427 Southbound On-ramp at REXDALE BLVD / DERRY ROAD Westbound. ALL LANES CLOSED.,1/13/2019,1/7/2019,1/13/2019,1/17/2019,ALL LANES CLOSED,43.71839,-79.62026,roadwork,133790197,
event,MTO--106539,MTO,401,Eastbound,Recurring-Maintenance on HWY 401 Eastbound  between COURTICE ROAD and HOLT ROAD. 1 Right Lane(s).,1/8/2019,1/7/2019,1/8/2019,1/9/2019,1 Right Lane(s),43.87878,-78.76353,roadwork,29603469,
event,MTO--106403,MTO,Queen Elizabeth ,Toronto Bound,Recurring-Engineering Investigation on QEW Toronto bound  between BOWEN ROAD and RIDGEMOUNT ROAD. 1 Alternating Lane(s).,1/7/2019,1/2/2019,1/7/2019,1/11/2019,1 Alternating Lane(s),42.933674,-78.983406,roadwork,786422313,
event,MTO--106409,MTO,11,Southbound,Recurring-Construction on HWY 11 Southbound  between LINE 8/SIMCOE ROAD 20 and LINE 7/SIMCOE ROAD 27. 1 Alternating Lane(s).,1/7/2019,1/2/2019,1/7/2019,1/12/2019,1 Alternating Lane(s),44.500065,-79.49186,roadwork,1194263227,"Detailed closure information is as follows: MON: 1st Lane Closed at 19:00, 1st Lane Opened at 05:00; TUE: 1st Lane Closed at 19:00, 1st Lane Opened at 05:00; WED: 1st Lane Closed at 19:00, 1st Lane Opened at 05:00; THU: 1st Lane Closed at 19:00, 1st Lane Opened at 05:00; FRI: 1st Lane Closed at 19:00, 1st Lane Opened at 05:00;"
event,MTO--106402,MTO,Queen Elizabeth ,Fort Erie Bound,Recurring-Engineering Investigation on QEW Fort Erie Bound  between RIDGEMOUNT ROAD and BOWEN ROAD. 1 Alternating Lane(s).,1/7/2019,1/2/2019,1/7/2019,1/11/2019,1 Alternating Lane(s),42.951614,-79.00609,roadwork,1145947475,
event,MTO--106492,MTO,401,Westbound,Recurring-Engineering Investigation on HWY 401 Westbound On-ramp at NEILSON ROAD Westbound. ALL LANES CLOSED.,1/7/2019,1/4/2019,1/7/2019,1/8/2019,ALL LANES CLOSED,43.794125,-79.21104,roadwork,29609232,"Detailed closure information is as follows: MON: 1st Lane Closed at 00:00, 1st Lane Opened at 05:00; TUE: 1st Lane Closed at 00:00, 1st Lane Opened at 05:00;"
event,MTO--106370,MTO,427,Northbound,Recurring-Construction on HWY 427 Northbound  between REXDALE BLVD / DERRY ROAD and REXDALE BLVD / DERRY ROAD. OPP Assisted Full Closure for 15 minutes.,1/9/2019,1/4/2019,1/9/2019,1/11/2019,OPP Assisted Full Closure for 15 minutes,43.71839,-79.62026,roadwork,29594657,"Detailed closure information is as follows: WED: 1st Lane Closed at 23:59, 1st Lane Opened at 05:00; THU: 1st Lane Closed at 23:59, 1st Lane Opened at 05:00;"
event,MTO--106490,MTO,401,Westbound,Recurring-Engineering Investigation on HWY 401 Westbound Collector between NEILSON ROAD Collector and NEILSON ROAD Collector. 1 Right Lane(s).,1/8/2019,1/4/2019,1/8/2019,1/9/2019,1 Right Lane(s),43.794125,-79.21104,roadwork,29609232,"Detailed closure information is as follows: TUE: 1st Lane Closed at 00:00, 1st Lane Opened at 05:00; WED: 1st Lane Closed at 00:00, 1st Lane Opened at 05:00;"
event,MTO--106371,MTO,427,Southbound,Recurring-Construction on HWY 427 Southbound  between REXDALE BLVD / DERRY ROAD and REXDALE BLVD / DERRY ROAD. OPP Assisted Full Closure for 15 minutes.,1/9/2019,1/4/2019,1/9/2019,1/11/2019,OPP Assisted Full Closure for 15 minutes,43.71839,-79.62026,roadwork,133790197,"Detailed closure information is as follows: WED: 1st Lane Closed at 23:59, 1st Lane Opened at 05:00; THU: 1st Lane Closed at 23:59, 1st Lane Opened at 05:00;"
event,MTO--106500,MTO,401,Westbound,Maintenance on HWY 401 Westbound Express between LAKERIDGE ROAD Express and CHURCH ST Express. 2 Left Lane(s).,1/10/2019,1/4/2019,1/10/2019,1/11/2019,2 Left Lane(s),43.861805,-78.982765,roadwork,1173138130,
event,MTO--106441,MTO,Queen Elizabeth ,Fort Erie Bound,Recurring-Engineering Investigation on QEW Fort Erie Bound On-ramp at GILMORE ROAD Eastbound. ALL LANES CLOSED.,1/9/2019,1/4/2019,1/9/2019,1/11/2019,ALL LANES CLOSED,42.919228,-78.96801,roadwork,1192889492,
event,MTO--106480,MTO,404,Southbound,Recurring-Engineering Investigation on HWY 404 Southbound  between MAJOR MACKENZIE  and JOHN ST. 1 Alternating Lane(s).,1/6/2019,1/4/2019,1/6/2019,1/11/2019,1 Alternating Lane(s),43.88325,-79.37978,roadwork,29541209,
event,MTO--106479,MTO,404,Northbound,Recurring-Engineering Investigation on HWY 404 Northbound  between JOHN ST and MAJOR MACKENZIE . 1 Alternating Lane(s).,1/6/2019,1/4/2019,1/6/2019,1/11/2019,1 Alternating Lane(s),43.824078,-79.36222,roadwork,722926429,
event,MTO--22250,MTO,417,Eastbound,Recurring-Engineering Investigation on HWY 417 Eastbound  between CTY RD 3 and CTY RD 3. 1 Alternating Lane(s).,1/7/2019,1/4/2019,1/7/2019,1/12/2019,1 Alternating Lane(s),45.31051,-75.15195,roadwork,1129620382,Lane reductions Hwy 417 E/B @ Cty Rd 3 (Casselman)
event,MTO--106504,MTO,Queen Elizabeth ,Toronto Bound,Recurring-Construction on QEW Toronto bound  between MILLEN ROAD and CENTENNIAL PKWY. 2 Alternating Lane(s).,1/8/2019,1/4/2019,1/8/2019,1/11/2019,2 Alternating Lane(s),43.2362,-79.71591,roadwork,835906834,"Detailed closure information is as follows:  1st Lane Closed at 20:00 2nd Lane Closed at 23:00 2nd Lane Opened at 05:00 1st Lane Opened at 05:00 Detailed closure information is as follows: ALL DAYS: 1st Lane Closed at 20:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00;"
event,MTO--106466,MTO,7,Westbound,Construction on HWY 7 Westbound  between 16TH SIDELINE and BROCK ROAD. 1 Right Lane(s).,1/11/2019,1/4/2019,1/11/2019,1/11/2019,1 Right Lane(s),43.919804,-79.09945,roadwork,916021866,"Detailed closure information is as follows: ALL DAYS: 1st Lane Closed at 03:00, 1st Lane Opened at 05:00;"
event,MTO--106465,MTO,7,Eastbound,Engineering Investigation on HWY 7 Eastbound  between BROCK ROAD and 16TH SIDELINE. 1 Right Lane(s).,1/11/2019,1/4/2019,1/11/2019,1/11/2019,1 Right Lane(s),43.918716,-79.10666,roadwork,1175758847,"Detailed closure information is as follows: ALL DAYS: 1st Lane Closed at 03:00, 1st Lane Opened at 05:00;"
event,MTO--106506,MTO,Queen Elizabeth ,Toronto Bound,Recurring-Engineering Investigation on QEW Toronto bound On-ramp at BOWEN ROAD Eastbound/Westbound. ALL LANES CLOSED.,1/8/2019,1/4/2019,1/8/2019,1/11/2019,ALL LANES CLOSED,42.933674,-78.983406,roadwork,786422313,
event,MTO--106511,MTO,Queen Elizabeth ,Fort Erie Bound,Recurring-Construction on QEW Fort Erie Bound  between HWY 427 and CAWTHRA ROAD. 2 Alternating Lane(s).,1/8/2019,1/7/2019,1/8/2019,1/10/2019,2 Alternating Lane(s),43.612133,-79.55171,roadwork,133791114,"Detailed closure information is as follows: TUE: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:59, 2nd Lane Opened at 05:30, 1st Lane Opened at 06:00; WED: 1st Lane Closed at 23:00, 2nd Lane Closed at 23:59, 2nd Lane Opened at 05:30, 1st Lane Opened at 06:00;"
